ID,Tenure in Nuvemshop in months,Monthly Sales,Employee Count,Current plan id,Estimated Page Views,Rank - Domain,Product Count - Domain,Estimated Sales - Domain,Combined Followers,Number of technologies,Avg Total Users,Avg - Total Visits,Avg - Average Bounce Rate,Avg - Average Time On Site,Avg - Average Pages Per Visit,Avg - real visits,Followers,Posts,Semrush Rank,Organic Keywords,Organic Traffic,Adwords Keywords,Adwords Traffic,PLA keywords,Average ticket value
1685,60.68048947,"42,012.16",,55,10320,554460,6,"35,386.89",,6,,,,,,,56374,153,,,,,,,277.75
1686,60.40726852,"38,738.69",,56,4761,916578,57,"20,779.47",746,5,2516,4635,0.5,294,4,2121,8647,275,,,,,,,213.09
1687,61.30192428,"27,412.11",,56,11484,669513,1387,"39,376.23",,6,10281,10420,1,570,1,10290,3283,509,,,,,,,247.77
1688,61.53972596,"42,469.96",,56,904,3243641,106,"5,641.48",,1,614,752,0.7,7,1,556,,,,,,,,,408.87
1689,61.49585909,"27,276.29",,56,2111,2212750,38,"13,163.46",,3,15230,17058,0,67,4,698,45026,551,,,,,,,169.71
1690,62.86169318,"30,114.60",,56,,,,,,,,,,,,,,,,,,,,,1667.58
1691,59.709829,"32,978.09",,56,3921,1285489,2,"17,112.50",63,2,1737,1897,0.5,80,4,942,2825,61,,,,,,,1645.7
1692,64.55529906,"23,031.41",,56,,,,,,,,,,,,,,,,,,,,,347.23
1693,56.67986932,"21,792.51",,56,344,13054998,58,"3,438.62",,6,418,418,0.3,34,4,139,,,,,,,,,438.23
1694,48,"45,458.59",,56,560,4571040,101,"3,492.34",,6,319,1635,0.1,145,9,234,,,,,,,,,348.26
1695,66.75587403,"40,524.74",,56,3167,2948364,340,"14,808.90",,3,1377,1377,0.3,131,9,385,117089,1257,,,,,,,162.07
1696,67.56261089,"30,590.54",,56,,,,,,,,,,,,,,,,,,,,,262.89
1697,68.86343003,"27,181.57",,56,86,8618230,254,859.65,,6,,,,,,,88151,2182,,,,,,,265.18
1698,68.31120781,"21,237.53",,55,,,,,,,,,,,,,,,,,,,,,500.26
1699,69.68990927,"35,581.15",,56,5731,2548634,816,"23,224.11",161,7,10270,11263,0.8,121,1,9171,5025,887,,,,,,,227.33
1700,65.36633065,"39,288.13",,56,4093,2610473,162,"17,864.70",,2,1702,2022,0.5,86,3,952,35309,532,,,,,,,3535.15
1701,70.05447506,"39,970.97",,56,,,,,,,,,,,,,,,,,,,,,696.75
1702,70.3133184,"27,521.57",,56,18077,1477428,217,"56,347.70",,3,6053,6637,0.3,28,4,1707,82348,746,,,,,,,143.27
1703,71.73229167,"25,584.87",,56,26243,865408,148,"73,621.40",16300,3,11027,16538,0.7,338,3,11817,10876,147,,,,,,,653.46
1704,71.93751157,"42,259.72",,56,237,6019335,121,"2,364.05",,8,,,,,,,33250,2578,,,,,,,160.93
1705,71.93559886,"20,626.31",,56,3102,3084717,185,"15,473.79",,2,282,282,0,312,4,,13334,1720,,,,,,,233.47
1706,72.63189628,"24,964.19",,56,,,,,,,,,,,,,,,,,,,,,180.2
1707,72.94921931,"38,359.99",,56,3124,1258150,262,"14,607.42",,10,344,344,0,60,2,,49484,2636,,,,,,,805.95
1708,65.5926247,"36,808.78",,56,5515,2693978,700,"22,351.03",35,6,,,,,,,87255,1222,,,,,,,203.81
1709,74.46251531,"20,411.72",,56,2090,1778546,218,"13,029.14",,6,5195,6208,0.6,120,7,3960,71723,5230,,,,,,,442.91
1710,73.81352897,"24,324.69",,56,12863,2432995,40,"44,104.33",,7,30505,35758,0.8,79,1,29279,,,,,,,,,2591.48
1711,74.27510043,"26,007.81",,56,,,,,,,,,,,,,,,,,,,,,240.19
1712,73.79619213,"36,820.18",,56,2456,1008738,79,"15,312.60",,6,6335,7218,0.8,218,2,5638,46155,484,,,,,,,1413.67
1713,71.71094646,"21,758.07",,56,10665,833482,337,"36,568.92",80,6,5163,5325,0.3,72,2,1658,27918,603,,,,,,,88.16
1714,74.84197805,"36,225.82",,56,2434,1291662,16,"15,178.28",27,8,,,,,,,26558,696,,,,,,,635.61
1715,75.61973193,"47,931.28",,56,2671,3231467,54,"13,324.65",,8,1310,1927,0.3,270,8,639,55724,2182,,,,,,,232.27
1716,10.91923499,"21,062.29",,55,7304,836774,17,"27,320.91",,6,298,298,1,0,1,298,17771,662,,,,,,,161.62
1717,77.71234842,"20,104.04",,56,86,2989921,319,859.65,37,8,5399,5705,0.3,353,9,1902,5651,119,,,,,,,208.08
1718,77.20004219,"26,780.99",,56,,,,,,,,,,,,,,,,,,,,,225.21
1719,77.55535656,"22,860.76",,56,5041,666295,6,"22,001.79",11,6,8941,10587,0.5,231,4,5665,9020,775,,,,,,,366.85
1720,78,"35,581.93",,56,1551,1229350,501,"9,671.11",5751,6,,,,,,,11887,590,,,,,,,135.96
1721,65.59174246,"35,633.18",,56,10600,1014257,337,"36,347.29",,6,507,507,0.5,2,2,253,104692,1625,,,,,,,402.65
1722,80.52273634,"24,466.93",,56,,,,,,,,,,,,,,,,,,,,,222.09
1723,82.08042637,"39,351.26",,56,8877,853430,298,"33,204.17",,6,,,,,,,136023,11012,,,,,,,354.32
1724,82.74999888,"21,390.47",,56,,,,,,,,,,,,,,,,,,,,,139.13
1725,81.79154346,"47,194.13",,56,,,,,,,,,,,,,,,,,,,,,437.07
1726,85.96487567,"45,423.00",,56,818,13150229,211,"5,104.20",25,8,19445,71958,0.3,496,7,24147,45152,1778,,,,,,,537.48
1727,87.30342593,"38,328.92",,56,34431,436257,340,"96,590.31",6172,8,11181,33675,0.4,243,4,14382,321034,12847,,,,,,,329.44
1728,89.3392559,"22,695.98",,56,,,,,,,,,,,,,,,,,,,,,51.1
1729,87.56136425,"30,546.89",,56,581,4097998,,"3,626.66",,2,,,,,,,8969,244,,,,,,,612.75
1730,91.33867832,"44,925.40",,56,11721,2422363,23064,"40,188.87",,3,1929,2309,0.5,77,3,1186,999442,9849,,,,,,,200.71
1731,92.26555742,"36,657.81",,56,,,,,,,2751,2856,1,1,1,2856,,,,,,,,,476.3
1732,93.29933057,"36,972.44",,56,4998,2596867,1412,"21,813.74",,3,5320,6980,0.4,454,7,2805,5866,483,,,,,,,142.97
1733,94.00963112,"33,601.53",,56,3232,1205457,19,"15,111.12",,1,,,,,,,10338,279,,,,,,,1917.67
1734,96.01817914,"36,671.92",,56,,,,,,,,,,,,,,,,,,,,,1540.27
1735,97.16420064,"31,399.63",,56,3792,1093206,399,"17,730.38",8486,8,,,,,,,57276,1668,,,,,,,548.2
1736,24.68610327,"46,376.93",,55,581,4854583,5,"3,626.66",,6,1,1,1,0,1,1,31953,3129,,,,,,,227.33
1737,103.9082575,"23,796.69",,56,2370,1610867,110,"14,775.32",,12,457,644,0.7,18,2,477,4772,164,,,,,,,222.54
1738,107.0652964,"22,577.03",,55,,,,,,,,,,,,,,,,,,,,,336.44
1739,11.792528,"34,257.00",,55,10148,933943,244,"34,795.88",54253,2,236,236,0.7,10,1,158,537792,1942,,,,,,,328.81
1740,108.0067163,"20,143.84",,56,754,12231259,126,"4,701.23",,2,6704,7898,0.4,412,3,3520,34511,308,,,,,,,253.49
1741,109.1391103,"22,467.31",,56,2650,1387443,266,"13,217.19",,2,2121,2340,0.4,139,3,982,2278,530,,,,,,,464.16
1742,115.8778569,"30,776.76",,56,5666,3089615,122,"22,962.19",,7,,,,,,,41033,903,,,,,,,152.19
1743,129.3977834,"36,310.77",,56,581,2879752,608,"3,626.66",3938,9,,,,,,,260487,1664,,,,,,,201.49
1744,6.584264113,"3,223.76",,55,21,9876469,,500,63,7,,,,,,,29880,1907,,,,,,,581.82
1745,6.622362231,"15,411.51",,55,107,5780467,,"1,074.56",,1,1,1,1,1,1,1,13076,2384,,,,,,,379.57
1746,6.136074149,819.24,,55,,6727758,,50,12,4,,,,,,,1734,280,,,,,,,182.22
1747,6.361698029,697.77,,55,215,6046805,,"2,149.13",701,3,,,,,,,7896,1115,,,,,,,110.72
1748,6.649461992,"2,608.55",,55,43,5425025,34,500,5,8,,,,,,,416,140,,,,,,,138.16
1749,6.780177718,"1,465.95",,55,64,6596473,,644.74,,1,,,,,,,13093,851,,,,,,,105.32
1750,7.103002165,173.51,,55,129,6406762,,"1,289.48",2313,8,,,,,,,1633,173,,,,,,,99.72
1751,6.9165681,"2,678.70",,55,1551,2236391,2330597,"9,671.11",,6,,,,,,,20614,161,,,,,,,628.66
1752,6.801821237,757.09,,55,,7972788,,50,,1,,,,,,,13974,270,,,,,,,53.81
1753,7.013835125,"4,304.33",,55,64,8900042,,644.74,1,8,413,742,0,19,6,,1133,66,,,,,,,134.67
1754,7.175608572,393.45,,55,,10950705,,50,,1,,,,,,,2223,46,,,,,,,108.53
1755,7.717169205,994.51,,55,,11247913,,50,,1,,,,,,,,,,,,,,,358.51
1756,8.146240666,"1,123.10",,55,172,5146471,,"1,719.31",,5,562,562,1,0,1,562,,,,,,,,,61.44
1757,9.141639038,"6,052.72",,55,21,9472941,,500,,6,658,658,0,6,6,,,,,,,,,,802.5
1758,8.173005526,"1,225.90",,55,5839,1215634,118,"23,660.66",,6,,,,,,,18814,5081,,,,,,,321.43
1759,7.069927942,"1,337.20",,55,129,6204123,,"1,289.48",733,6,,,,,,,5671,161,,,,,,,299.8
1760,7.088987829,"11,639.81",,52,150,13170186,,"1,504.39",,8,,,,,,,,,,,,,,,200
1761,8.527557497,"7,993.08",,55,,10655423,,50,,6,,,,,,,9479,150,,,,,,,185.41
1762,7.814090875,358.33,,55,861,3510717,1,"5,372.84",3,7,538,538,0.5,662,5,269,309,49,,,,,,,52.85
1763,9.868947506,"3,956.40",,55,,13282204,,50,68,2,5204,5044,0.7,1,2,3363,618,106,,,,,,,113.92
1764,#N/A,213.95,,#N/A,926,2244689,114103,"5,775.80",,4,,,,,,,,,,,,,,,#N/A
1765,9.816374701,"4,035.16",,55,1163,1939216,17,"7,253.33",114,6,220,220,0.1,51,3,29,17541,2752,,,,,,,62.98
1766,10.25313508,"19,276.89",,55,172,4905511,,"1,719.31",,2,9118,9118,0,64,4,201,14482,1512,,,,,,,368.89
1767,#N/A,"1,520.03",,#N/A,,11078880,,50,,2,,,,,,,,,,,,,,,#N/A
1768,9.159702808,"7,425.27",,55,,13602156,,,,2,562,562,0,46,2,,81664,666,,,,,,,344.48
1769,9.842169952,"2,384.20",,55,366,2925292,214,"3,653.53",,6,301,301,0.5,1,2,158,2708,223,,,,,,,139.45
1770,#N/A,"6,350.03",,#N/A,172,6079874,5,"1,719.31",,6,559,559,0.5,47,3,280,,,,,,,,,#N/A
1771,#N/A,468.36,,#N/A,215,4898247,,"2,149.13",,6,282,282,1,1,1,282,43645,659,,,,,,,#N/A
1772,9.559255526,"1,443.83",,55,2822,1678148,30,"14,076.85",,1,563,563,0,7,2,,,,,,,,,,207.81
1773,10.02981108,"3,030.50",,55,43,9710939,,500,,6,,,,,,,10055,194,,,,,,,419.98
1774,11.01315898,410.58,,55,150,6617799,,"1,504.39",,1,276,276,1,0,1,276,5022,707,,,,,,,100.87
1775,9.874332064,321.21,,55,21,9774506,,500,,4,,,,,,,1347,277,,,,,,,78.84
1776,11.04067503,"2,949.05",,55,,7932994,,50,,2,,,,,,,,,,,,,,,170.24
1777,9.886407557,408.52,,55,129,6353279,,"1,289.48",,7,,,,,,,494,31,,,,,,,206.39
1778,11.00516204,"1,127.49",,55,1874,3115430,111,"11,685.93",,6,1349,1349,1,1,1,1317,4239,30,,,,,,,126.16
1779,11.39436716,"1,733.41",,55,,,,,,,,,,,,,,,,,,,,,107.26
1780,6.496626344,"1,166.95",,55,,7414842,,50,,2,,,,,,,,,,,,,,,334.16
1781,9.308583483,"13,958.46",,55,1163,3906099,39,"7,253.33",,6,756,756,0.3,146,4,252,,,,,,,,,254.86
1782,8.490177718,764.98,,55,,10919319,,50,,2,,,,,,,380,90,,,,,,,103.27
1783,11.344176,698.79,,55,86,3029318,253,859.65,,3,,,,,,,7028,1591,,,,,,,133.92
1784,10.32973828,"8,157.50",,56,215,5841943,,"2,149.13",7620,3,658,658,0,2,2,,171234,6778,,,,,,,387.88
1785,11.38775463,500.14,,55,,11140124,,50,,3,,,,,,,1581,81,,,,,,,220
1786,11.13815636,"1,335.91",,55,64,8731073,,644.74,,5,,,,,,,1980,123,,,,,,,121.01
1787,9.788160096,339.73,,55,,10887637,,50,,1,,,,,,,6112,1117,,,,,,,115.12
1788,11.58942316,"8,668.02",,55,172,6438633,1,"1,719.31",315,7,356,356,1,5,1,355,,,,,,,,,184.12
1789,#N/A,147.42,,#N/A,,,,,,,,,,,,,,,,,,,,,#N/A
1790,10.90259147,183.62,,55,172,6006899,51,"1,719.31",,6,229,255,0.5,61,2,128,14,2,,,,,,,32.96
1791,6.40051486,"2,100.18",,55,603,4177224,2,"3,760.99",,2,,,,,,,2074,190,,,,,,,437.2
1792,11.87913045,"7,913.30",,55,387,2254458,2,"3,868.44",,3,595,595,0,536,6,,10494,559,,,,,,,183.25
1793,12.9067111,419.07,,55,43,8811170,,500,,5,241,241,0,400,9,,,,,,,,,,127.51
1794,11.88562351,"8,538.99",,55,280,4971827,31,"2,793.87",,6,37,37,0,6,6,,128020,10814,,,,,,,77.6
1795,11.74754032,"7,601.45",,55,1185,3622377,127,"7,387.66",,7,1022,1086,0.4,83,4,472,123407,189,,,,,,,271.93
1796,12.17147177,680.7,,56,409,4667931,3,"4,083.36",,6,,,,,,,113051,158,,,,,,,200.47
1797,12.58672864,"3,193.47",,55,969,3492133,347,"6,044.44",,7,658,658,1,1,1,658,20705,681,,,,,,,176.52
1798,12.85088299,"4,379.38",,55,150,5974051,,"1,504.39",,9,,,,,,,4438,112,,,,,,,355.87
1799,13.29523447,"2,614.10",,55,,5671526,,500,,,,,,,,,,,,,,,,,59.9
1800,12.75696274,"1,648.29",,55,172,6485682,,"1,719.31",,2,,,,,,,8143,453,,,,,,,239.06
1801,12.56170475,"1,393.47",,55,4352,2632240,116,"18,993.00",,1,355,355,0,182,3,,268,38,,,,,,,191.96
1802,12.92701725,"4,814.00",,55,409,4433660,,"4,083.36",,7,,,,,,,23665,4950,,,,,,,159.66
1803,12.63026098,831.07,,55,,10782461,,50,,10,,,,,,,3919,189,,,,,,,294.44
1804,12.61964083,"4,097.53",,55,495,3994540,14,"4,943.01",,6,,,,,,,16188,230,,,,,,,169.56
1805,10.78103532,"13,188.90",,55,517,4294509,123,"5,157.93",,1,40,91,0,3032,83,,,,,,,,,,930.12
1806,14.29347782,770.1,,55,43,9530621,,500,,4,,,,,,,469,89,,,,,,,157.38
1807,14.4244605,"3,896.11",,55,258,5828185,1,"2,578.96",,6,1,1,1,0,1,1,,,,,,,,,404.07
1808,13.65419579,892.99,,55,,13275166,4,50,24,2,,,,,,,3315,376,,,,,,,111.54
1809,12,"1,267.64",,55,323,4694943,,"3,223.70",,7,,,,,,,1469,98,,,,,,,159.01
1810,14,"6,230.29",,55,107,6448876,13,"1,074.56",,1,44,44,1,1,1,44,69276,1730,,,,,,,251.65
1811,14.01534013,"1,326.62",,55,818,2035089,30,"5,104.20",,2,178,178,1,0,1,178,2319,145,,,,,,,195.49
1812,14.84578741,"1,018.12",,55,43,8999463,,500,,6,694,844,0.8,119,4,646,884,80,,,,,,,377.33
1813,14.30557348,"4,389.56",,55,64,9265238,,644.74,,6,,,,,,,,,,,,,,,147.75
1814,13.81447543,"4,054.76",,55,215,5015605,53,"2,149.13",,6,,,,,,,12151,35,,,,,,,144.07
1815,13.07184102,291.57,,55,366,4560260,13,"3,653.53",,5,,,,,,,815,48,,,,,,,85.17
1816,#N/A,560.85,,#N/A,797,4795962,,"4,969.88",,6,,,,,,,956,65,,,,,,,#N/A
1817,#N/A,"4,314.97",,#N/A,172,2815807,488,"1,719.31",,3,330,659,0.5,10,11,330,9083,381,,,,,,,#N/A
1818,14.23700045,"4,527.26",,52,517,4159521,12,"5,157.93",1550,7,225,225,0.6,123,5,125,12328,794,,,,,,,80.43
1819,15.74244586,764.27,,55,560,5141914,,"3,492.34",,2,,,,,,,7522,394,,,,,,,207.9
1820,15.70274119,408.67,,55,689,4721051,115,"4,298.27",,7,,,,,,,2508,46,,,,,,,124.91
1821,#N/A,"1,220.24",,#N/A,,7434842,,50,,1,,,,,,,675,633,,,,,,,#N/A
1822,14.63739023,"3,750.60",,55,150,5613959,,"1,504.39",,6,960,960,1,1,1,960,59470,512,,,,,,,145.99
1823,11.91786962,"2,931.58",,55,2046,3258366,26,"12,760.50",,1,,,,,,,7319,462,,,,,,,112.05
1824,14.96348977,660.59,,55,,11172902,,50,,1,,,,,,,6306,35,,,,,,,134.52
1825,14,314.13,,55,,,,,,,,,,,,,,,,,,,,,181.54
1826,15.12680108,"18,925.76",,55,344,4786600,139,"3,438.62",,2,,,,,,,,,,,,,,,225.12
1827,15.68653935,"1,494.36",,55,,8783665,,245.38,12200,8,,,,,,,16264,2487,,,,,,,351.1
1828,15,"4,038.80",,55,64,6379014,120,644.74,,8,1139,1139,0.4,5,5,481,2989,995,,,,,,,177.06
1829,16.41901807,"1,467.09",,55,,5770966,,249.46,,1,1,2,0,22,22,,1162,498,,,,,,,129.7
1830,3.532412634,"2,364.58",,55,,10912796,,50,,2,,,,,,,4551,96,,,,,,,68.78
1831,15.65688508,"13,721.38",,55,,,,,,,1,3,1,0,1,3,,,,,,,,,247.25
1832,#N/A,"3,740.33",,#N/A,,13393298,109,,,5,712,712,1,0,1,712,2686,230,,,,,,,#N/A
1833,14.3572898,846.55,,55,237,5413512,,"2,364.05",,2,,,,,,,16242,1046,,,,,,,138.2
1834,16.07638964,"1,418.41",,55,21,10000186,115,500,65,7,,,,,,,16054,747,,,,,,,133.2
1835,16.5001527,"1,077.69",,55,43,8953822,,500,,1,,,,,,,6443,32,,,,,,,85.2
1836,15.94871901,705.26,,55,1228,1603665,445,"7,656.30",37,4,703,703,1,1,1,703,2071,1032,,,,,,,98.88
1837,17.06346998,"1,923.81",,55,581,5123563,36,"3,626.66",25,7,355,1065,0,643,6,,1233,487,,,,,,,77.12
1838,17.06944146,"1,331.65",,55,280,4883464,204,"2,793.87",,6,,,,,,,3238,271,,,,,,,176.36
1839,16.74443399,"1,557.12",,55,172,5484851,34,"1,719.31",,6,562,3934,0.4,715,11,1686,2474,189,,,,,,,238.99
1840,15.26598044,"3,928.73",,55,1292,3712391,220,"8,059.26",,8,164,172,0.7,68,3,114,122,3,,,,,,,104.53
1841,15.68678726,"3,734.38",,55,43,8928989,,500,,6,563,566,0,108,3,3,7440,69,,,,,,,161.94
1842,16.48941794,"5,053.45",,52,301,5704280,201,"3,008.79",2,5,,,,,,,14400,786,,,,,,,311.55
1843,16.29143593,247.44,,55,409,4319694,153,"4,083.36",,4,,,,,,,15591,182,,,,,,,128.33
1844,17.69546371,791.73,,55,43,9250056,153,500,,3,,,,,,,5831,1770,,,,,,,165.54
1845,15.1639658,"8,220.20",,55,,10906956,,50,,6,,,,,,,11795,340,,,,,,,286.03
1846,17.75460424,"7,645.99",,55,11721,933264,130,"40,188.87",,6,1082,1242,0.6,159,3,733,26332,185,,,,,,,379.62
1847,16.67833483,"5,886.21",,55,107,6507457,26,"1,074.56",,4,,,,,,,6267,194,,,,,,,684.63
1848,17.94591024,972.2,,55,646,3244556,42,"4,029.63",,2,480,480,0,5,5,,52125,4088,,,,,,,196.5
1849,17.90434513,"1,598.44",,55,2111,2968064,169,"13,163.46",,3,1249,1251,0.6,640,5,712,1962,114,,,,,,,799.9
1850,16.94258961,"1,582.02",,55,,10326192,174,50,,9,11,11,0,377,4,,5169,162,,,,,,,943.99
1851,16.96521356,"1,127.50",,55,21,8775396,,500,,2,191,191,0,18,4,,,,,,,,,,255.57
1852,17.16906623,"4,618.51",,55,21,9620099,11,500,,2,480,1920,1,1,1,1920,7160,185,,,,,,,216.85
1853,15.13778711,"1,347.11",,55,366,4952852,501,"3,653.53",,8,,,,,,,1598,553,,,,,,,168.12
1854,16.2717055,"7,777.02",,55,991,4556517,141,"6,178.77",,5,538,538,1,1,1,538,115,30,,,,,,,539.13
1855,18.22784834,"7,140.76",,55,1853,4489373,,"11,551.61",,2,,,,,,,10702,3680,,,,,,,10.58
1856,16.91294654,"12,007.31",,55,301,5568874,729,"3,008.79",,6,423,423,0.7,13,2,294,,,,,,,,,197.06
1857,17.52861372,"15,855.98",,55,474,4088615,3,"4,728.10",,2,183,183,0.3,15,3,61,34969,313,,,,,,,312.16
1858,#N/A,"1,321.54",,#N/A,86,9038656,,859.65,,6,,,,,,,,,,,,,,,#N/A
1859,17.84988389,"2,833.90",,55,86,6515173,,859.65,,5,,,,,,,4554,122,,,,,,,206.76
1860,16.46012283,333.88,,55,,,,,,,,,,,,,,,,,,,,,92.21
1861,17.17442876,"1,402.19",,55,517,4169728,2,"5,157.93",,1,480,480,0,12,12,,9101,124,,,,,,,225.8
1862,17.16094609,"2,869.33",,55,344,4762034,51,"3,438.62",57,2,480,960,0.5,4,4,480,3886,638,,,,,,,154.42
1863,18.82037634,"1,470.64",,55,646,3863659,38,"4,029.63",,1,,,,,,,27613,617,,,,,,,201.05
1864,17.91137134,"5,294.47",,55,646,4929651,104,"4,029.63",,7,471,471,0.7,10,1,313,676,100,,,,,,,415.26
1865,19.1420292,"1,200.40",,55,,,,,,,,,,,,,,,,,,,,,134.41
1866,8.552578032,"1,847.18",,55,,,,,,,8310,8846,1,1,1,8846,,,,,,,,,277.01
1867,14.11004219,"4,200.92",,55,129,6539393,,"1,289.48",,6,,,,,,,33646,432,,,,,,,150.6
1868,19.0168022,"10,183.69",,56,7110,2491209,258,"26,595.57",,7,,,,,,,891,115,,,,,,,108.38
1869,16.94277404,"3,364.45",,55,150,5495775,4,"1,504.39",,6,895,3290,0.6,10,1,1925,3273,153,,,,,,,165.95
1870,19.48901396,"3,012.01",,55,107,5850232,199,"1,074.56",,6,28,33,0,271,5,,27543,471,,,,,,,461.92
1871,19,"15,186.24",,55,6140,1422625,3,"24,882.98",,7,378,378,0.7,26,2,252,17207,1910,,,,,,,164.76
1872,20.57482452,"4,819.39",,55,1400,3084809,17,"8,730.87",1678,3,623,623,0.5,41,4,341,23110,125,,,,,,,179.97
1873,10.93197021,"1,185.40",,55,,10357138,16,50,,3,,,,,,,,,,,,,,,113.55
1874,19.14104764,"3,953.88",,55,797,4008980,32,"4,969.88",,2,,,,,,,5995,1842,,,,,,,241.57
1875,18.74834155,464.1,,55,,9834184,37,50,,8,96,96,0.5,113,5,48,,,,,,,,,116.18
1876,21.37029047,"4,736.47",,55,64,8906478,,644.74,,6,7583,7583,0,33,4,,,,,,,,,,230.89
1877,20.67560857,"1,106.89",,55,64,6617827,40,644.74,,1,,,,,,,793,127,,,,,,,199.14
1878,19.03603532,234,,55,430,4205667,14,"4,298.27",,3,,,,,,,376,18,,,,,,,48.59
1879,21.69017062,"4,472.42",,55,64,6429739,15,644.74,,8,3752,3752,0.7,1,1,2501,3857,49,,,,,,,81.83
1880,20.20472894,"1,178.42",,55,215,4341485,43,"2,149.13",114,8,,,,,,,23848,59,,,,,,,134.2
1881,#N/A,"1,593.65",,#N/A,7584,1312606,176,"28,368.61",,2,572,575,0.7,3,2,426,29582,409,,,,,,,#N/A
1882,21.85381123,"4,806.96",,55,49471,1978878,16,"107,940.44",,6,1221,1877,0.7,73,2,1233,7078,72,,,,,,,79.71
1883,20.84263105,"1,224.02",,55,,11047184,,50,,1,,,,,,,53098,175,,,,,,,254.65
1884,20.86443175,593.61,,55,344,5301453,26,"3,438.62",5609,3,,,,,,,2506,112,,,,,,,38.28
1885,20.00426635,"3,695.16",,55,,,,,,,,,,,,,,,,,,,,,324.12
1886,21.22877128,898.33,,55,6033,2731788,121,"24,446.44",,3,522,523,0,57,13,,1859,484,,,,,,,78.01
1887,17.50007168,"4,368.27",,55,538,1932733,260,"5,372.84",,1,634,634,0.5,10,3,317,7239,4629,,,,,,,269.72
1888,22.58768892,"2,193.04",,55,1012,3774330,1,"6,313.09",,1,,,,,,,15720,7312,,,,,,,91.91
1889,19,359.01,,55,667,3851644,302,"4,163.95",2,6,355,355,1,0,1,355,3512,93,,,,,,,116.07
1890,#N/A,"8,236.81",,#N/A,,13396124,109,,,2,,,,,,,,,,,,,,,#N/A
1891,21.90540696,"9,785.31",,55,107,5940009,39,"1,074.56",44,1,480,480,0,12,12,,42091,151,,,,,,,129.68
1892,22.73041069,"15,276.72",,56,13919,627177,253,"43,385.71",,8,1948,3025,0.7,46,3,2015,6569,969,,,,,,,253.56
1893,20.90297827,"9,259.94",,55,904,3750263,18,"5,641.48",,1,694,694,0.5,90,4,347,21487,385,,,,,,,396.58
1894,23.11541629,"1,163.44",,55,861,4932713,370,"5,372.84",,1,1,1,1,1,1,1,4734,880,,,,,,,38.38
1895,17.61470131,"12,009.44",,55,2736,3210418,34,"13,647.02",,3,595,1190,0,183,9,,37182,768,,,,,,,203.37
1896,6.301547192,"4,434.89",,55,,11017064,,50,,3,2,2,0.5,4,4,1,1167,39,,,,,,,223.34
1897,16.45591697,"1,969.77",,55,1141,4621568,27,"7,119.01",,2,,,,,,,20047,778,,,,,,,75.15
1898,21.46560596,406.78,,55,86,5984360,419,859.65,,7,521,521,0,5,4,,,,,,,,,,772.1
1899,21.0411828,709.75,,55,150,6066383,154,"1,504.39",,2,595,595,1,0,1,595,12902,502,,,,,,,66.41
1900,23.39730212,572.17,,55,21,9869701,4,500,,2,,,,,,,1092,72,,,,,,,72.88
1901,21.48584005,"5,676.59",,55,2046,1697287,4,"12,760.50",,6,520,520,0.2,45,3,87,9121,299,,,,,,,169.04
1902,22.52772439,"1,740.30",,55,,,,,,,,,,,,,,,,,,,,,149.93
1903,22.64764076,"2,453.51",,55,107,6537307,205,"1,074.56",,2,,,,,,,17462,522,,,,,,,135.77
1904,22.69126755,"9,817.25",,56,10751,623458,5,"36,864.42",11,8,218,218,1,0,1,218,25618,3379,,,,,,,137.66
1905,16.00895124,"1,000.41",,55,,,,,,,,,,,,,,,,,,,,,166.43
1906,19.07059999,533.47,,55,21,10408291,,500,,2,,,,,,,,,,,,,,,227.42
1907,24.02956355,"5,766.60",,55,2090,3184536,11,"13,029.14",,3,377,568,0.3,1995,7,189,11014,286,,,,,,,129.35
1908,23.43086992,457.68,,55,172,6241411,15,"1,719.31",,1,,,,,,,22178,555,,,,,,,115.94
1909,21.54777666,"3,689.95",,55,4438,2951289,4,"19,369.10",,2,,,,,,,25927,283,,,,,,,155.42
1910,24.28751979,"11,387.02",,55,,7589903,,50,,1,355,710,0.5,17,2,355,,,,,,,,,143.28
1911,21.01057684,361.99,,55,1788,3987330,165,"11,148.65",1987,2,595,595,0,168,2,,1331,1210,,,,,,,46.66
1912,21.5954428,"3,699.54",,55,21,9804317,5,500,,2,,,,,,,3878,125,,,,,,,194.02
1913,17,"2,400.02",,55,,,,,,,658,658,0,19,19,,,,,,,,,,371.07
1914,24.08799358,"10,102.89",,55,861,3977385,13,"5,372.84",2346,6,132,132,0,653,7,,24644,380,,,,,,,112.68
1915,23.5876934,"12,114.27",,55,7153,1093964,13,"26,756.76",,7,1231,1670,0.4,13,3,701,1767,7,,,,,,,396.28
1916,24.0535454,"1,147.48",,56,21,10019875,155,500,,6,1,1,1,1,1,1,9602,1766,,,,,,,132.05
1917,24.33923238,"4,416.71",,56,1228,2956820,2,"7,656.30",371,6,363,414,0.8,457,1,328,28463,1233,,,,,,,161.54
1918,25.33573103,"10,093.96",,55,430,2577582,231,"4,298.27",,5,1246,1620,0,76,9,1,155242,8980,,,,,,,202.06
1919,24.49829077,"1,931.80",,55,603,2096720,319,"3,760.99",,1,917,917,0.6,1,1,562,,,,,,,,,440.31
1920,24.16677979,"2,034.69",,55,1939,3208834,296,"12,088.89",45,4,8905,9887,0.8,397,2,8116,191,49,,,,,,,2418.89
